Species,N,Order,Family,BM,AGILITY,AGILITY2,ASCR,PSCR,LSCR,SCR,ASCR MAMMAL PREDICTION,PSCR MAMMAL PREDICTION,LSCR MAMMAL PREDICTION,SCR MAMMAL PREDICTION,ASCR PRIMATE PREDICTION,PSCR PRIMATE PREDICTION,LSCR PRIMATE PREDICTION,SCR PRIMATE PREDICTION,,prosthion-inion
Sorex hoyi,1,Eulipotyphla,Soricidae,3,m,4,0.6,0.6,0.4,0.5,4.2,4.3,3.7,3.9,,,,,,
Talpa europaea,1,Eulipotyphla,Talpidae,98,s,2,1.4,1.1,1,1.2,4.4,4.1,4.3,4.4,,,,,,
Lepus europaeus,1,Lagomorpha,Leporidae,3330,mf,5,2.3,1.8,1.7,1.9,3.7,3.3,3.6,3.6,,,,,,
Oryctolagus cuniculus,1,Lagomorpha,Leporidae,1740,mf,5,2,1.7,1.6,1.8,3.7,3.5,3.8,3.8,,,,,,
Ornithorhynchus anatinus,2,Monotremata,Ornithorhynchidae,1752,m,4,1.8,1.7,1.4,1.6,3.4,3.5,3.5,3.5,,,,,,
Notoryctes typhlops,1,Notoryctemorphia,Notoryctidae,55,s,2,1,0.9,0.7,0.8,3.8,3.8,3.4,3.6,,,,,,
Isoodon obesulus,1,Peramelemorphia,Peramelidae,1058,m,4,1.7,1.3,1.2,1.4,3.5,3.1,3.2,3.2,,,,,,
Diceros bicornis,1,Perissodactyla,Rhinocerocidae,1000000,m,4,3.5,3.6,2.8,3.3,2.1,2.3,2.1,2.1,,,,,,
Equus caballus,1,Perissodactyla,Equidae,250000,m,4,3.8,3.9,2.8,3.5,2.7,2.9,2.7,2.8,,,,,,
Alouatta seniculus,2,Primates,Cebidae,6700,s,2,2.9,2.4,2,2.4,3.9,3.7,3.7,4,3.6,3.4,3.2,3.5,,108.4
Aotus trivirgatus,2,Primates,Cebidae,775,mf,5,2.2,2,1.8,2,4.5,4.5,4.9,5,4.8,5,4.9,5.1,,60.5
Arctocebus calabarensis,2,Primates,Loridae,312,s,2,1.7,1.4,1.2,1.4,4.3,4,4,4.2,4.7,4,3.4,4,,
Ateles geoffroyi,1,Primates,Cebidae,7535,m,4,3.3,2.8,2.1,2.7,4.2,4,3.8,4.4,3.9,4,3.3,4.1,,107.7
Avahi laniger,1,Primates,Indridae,1175,f,6,2,2,1.6,1.9,3.9,4.1,4.2,4.3,3.9,4.3,3.8,4,,
Cacajao calvus,2,Primates,Cebidae,3165,m,4,2.7,2.4,1.9,2.3,4.2,4,4.1,4.4,4,4.1,3.7,4.1,,
